user,actions,value,width,x,y,color
U1,4 PE,4,79.27272727,39.63636364,-2,#00429d
U1,1 PA,1,19.81818182,89.18181818,-0.5,#3e67ae
U1,2 PE,2,39.63636364,118.9090909,-1,#00429d
U1,1 PA,1,19.81818182,148.6363636,-0.5,#3e67ae
U1,2 PE,2,39.63636364,178.3636364,-1,#00429d
U1,1 PA,1,19.81818182,208.0909091,-0.5,#3e67ae
U1,5 EE,5,233.3333333,334.6666667,-2.5,#93003a
U1,1 EA,1,46.66666667,474.6666667,-0.5,#c52a52
U1,4 PE,4,20,508,-2,#00429d
U1,1 PA,1,5,520.5,-0.5,#3e67ae
U1,2 PE,2,10,528,-1,#00429d
U1,1 PA,1,5,535.5,-0.5,#3e67ae
U1,2 PE,2,10,543,-1,#00429d
U1,1 PA,1,5,550.5,-0.5,#3e67ae
U1,1 notes,1,240,673,-0.5,gray
U1,3 PE,3,9.9,797.95,-1.5,#00429d
U1,1 PA,1,3.3,804.55,-0.5,#3e67ae
U1,2 PE,2,6.6,809.5,-1,#00429d
U1,1 PA,1,3.3,814.45,-0.5,#3e67ae
U1,2 PE,2,6.6,819.4,-1,#00429d
U1,1 PA ,1,3.3,824.35,-0.5,#3e67ae
U1,1 notes,1,133,892.5,-0.5,gray
